"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"37","Phylica axillaris","1","1116263","Phylica axillaris","1","species","","","","Lam.","Rhamnaceae","Phylica","Phylica","1","axillaris","axillaris","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001131019;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:717744-1","","Y","Accepted","Phylica axillaris","Phylica axillaris","Lam.","1116263","species","https://www.worldfloraonline.org/taxon/wfo-0001131019;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:717744-1","","Rhamnaceae",1,"1","wfo,wcvp","","37",true,true
"38","Pinus pinaster","1","475745","Pinus pinaster","1","species","","","","Aiton","Pinaceae","Pinus","Pinus","1","pinaster","pinaster","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000481910;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:263216-1","","Y","Accepted","Pinus pinaster","Pinus pinaster","Aiton","475745","species","https://www.worldfloraonline.org/taxon/wfo-0000481910;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:263216-1","","Pinaceae",1,"1","wfo,wcvp","","38",true,true
"39","Pinus radiata","1","475672","Pinus radiata","1","species","","","","D.Don","Pinaceae","Pinus","Pinus","1","radiata","radiata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000481837;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30020085-2","","Y","Accepted","Pinus radiata","Pinus radiata","D.Don","475672","species","https://www.worldfloraonline.org/taxon/wfo-0000481837;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30020085-2","","Pinaceae",1,"1","wfo,wcvp","","39",true,true
"40","Protea laurifolia","1","1092257","Protea laurifolia","1","species","","","","Thunb.","Proteaceae","Protea","Protea","1","laurifolia","laurifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001106779;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705904-1","","Y","Accepted","Protea laurifolia","Protea laurifolia","Thunb.","1092257","species","https://www.worldfloraonline.org/taxon/wfo-0001106779;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705904-1","","Proteaceae",1,"1","wfo,wcvp","","40",true,true
"41","Protea nitida","1","1092279","Protea nitida","1","species","","","","Mill.","Proteaceae","Protea","Protea","1","nitida","nitida","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001106801;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705978-1","","Y","Accepted","Protea nitida","Protea nitida","Mill.","1092279","species","https://www.worldfloraonline.org/taxon/wfo-0001106801;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705978-1","","Proteaceae",1,"1","wfo,wcvp","","41",true,true
"41","Protea nitida","1","1807248","Protea nitida","1","species","","","","Kuntze","Proteaceae","Protea","Protea","1","nitida","nitida","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:705979-1","","Y","Illegitimate","Leucadendron nitidum","Leucadendron nitidum","H.Buek ex Meisn.","1092475","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:704867-1","","Proteaceae",3,"3","wcvp","","41",false,false
"42","Pteridium aquilinum","1","1092870","Pteridium aquilinum","1","species","","","","(L.) Kuhn","Dennstaedtiaceae","Pteridium","Pteridium","1","aquilinum","aquilinum","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001107402;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17210060-1","","Y","Accepted","Pteridium aquilinum","Pteridium aquilinum","(L.) Kuhn","1092870","species","https://www.worldfloraonline.org/taxon/wfo-0001107402;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:17210060-1","","Dennstaedtiaceae",1,"1","wfo,wcvp","","42",true,true
"43","Pterocelastrus tricuspidatus","1","1275154","Pterocelastrus tricuspidatus","1","species","","","","Walp.","Celastraceae","Pterocelastrus","Pterocelastrus","1","tricuspidatus","tricuspidatus","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001292633","","Y","Accepted","Pterocelastrus tricuspidatus","Pterocelastrus tricuspidatus","Walp.","1275154","species","https://www.worldfloraonline.org/taxon/wfo-0001292633","","Celastraceae",1,"1","wfo","","43",true,true
"43","Pterocelastrus tricuspidatus","1","1694738","Pterocelastrus tricuspidatus","1","species","","","","(Lam.) Walp.","Celastraceae","Pterocelastrus","Pterocelastrus","1","tricuspidatus","tricuspidatus","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162445-1","","Y","Accepted","Pterocelastrus tricuspidatus","Pterocelastrus tricuspidatus","(Lam.) Walp.","1694738","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:162445-1","","Celastraceae",2,"2","wcvp","","43",false,false
"44","Restio sieberi","1","506412","Restio sieberi","1","species","","","","Kunth","Restionaceae","Restio","Restio","1","sieberi","sieberi","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000512799;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:716378-1","","Y","Accepted","Restio sieberi","Restio sieberi","Kunth","506412","species","https://www.worldfloraonline.org/taxon/wfo-0000512799;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:716378-1","","Restionaceae",1,"1","wfo,wcvp","","44",true,true
"45","Scolopia zeyheri","1","1049708","Scolopia zeyheri","1","species","","","","(Nees) Szyszyl.","Salicaceae","Scolopia","Scolopia","1","zeyheri","zeyheri","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001063070;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:112092-1","","Y","Accepted","Scolopia zeyheri","Scolopia zeyheri","(Nees) Szyszyl.","1049708","species","https://www.worldfloraonline.org/taxon/wfo-0001063070;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:112092-1","","Salicaceae",1,"1","wfo,wcvp","[Ambiguous]","45",true,true
"45","Scolopia zeyheri","1","905586","Scolopia zeyheri","1","species","","","","Szyszył.","Salicaceae","Scolopia","Scolopia","1","zeyheri","zeyheri","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000913951","","Y","Accepted","Scolopia zeyheri","Scolopia zeyheri","Szyszył.","905586","species","https://www.worldfloraonline.org/taxon/wfo-0000913951","","Salicaceae",2,"2","wfo","[Ambiguous]","45",false,false
"45","Scolopia zeyheri","1","1317322","Scolopia zeyheri","1","species","","","","Warb.","Salicaceae","Scolopia","Scolopia","1","zeyheri","zeyheri","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001349150","","Y","No opinion","","","","","","","","",4,"4","wfo","","45",false,false
"46","Searsia lucida","1","428978","Searsia lucida","1","species","","","","(L.) F.A.Barkley","Anacardiaceae","Searsia","Searsia","1","lucida","lucida","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000434839;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71179-1","","Y","Accepted","Searsia lucida","Searsia lucida","(L.) F.A.Barkley","428978","species","https://www.worldfloraonline.org/taxon/wfo-0000434839;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:71179-1","","Anacardiaceae",1,"1","wfo,wcvp","","46",true,true
"47","Sideroxylon inerme","1","305734","Sideroxylon inerme","1","species","","","","L.","Sapotaceae","Sideroxylon","Sideroxylon","1","inerme","inerme","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000310772;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:789686-1","","Y","Accepted","Sideroxylon inerme","Sideroxylon inerme","L.","305734","species","https://www.worldfloraonline.org/taxon/wfo-0000310772;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:789686-1","","Sapotaceae",1,"1","wfo,wcvp","","47",true,true
"48","Stoebe plumosa","1","20957","Stoebe plumosa","1","species","","","","Thunb.","Asteraceae","Stoebe","Stoebe","1","plumosa","plumosa","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000020564","","Y","Synonym","Seriphium plumosum","Seriphium plumosum","L.","67560","species","https://www.worldfloraonline.org/taxon/wfo-0000068197","","Asteraceae",1,"1","wfo","","48",true,true
"48","Stoebe plumosa","1","1635189","Stoebe plumosa","1","species","","","","(L.) Thunb.","Asteraceae","Stoebe","Stoebe","1","plumosa","plumosa","1","","","","","","","","","","","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:251823-1","","Y","Synonym","Seriphium plumosum","Seriphium plumosum","L.","67560","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:248506-1","","Asteraceae",2,"2","wcvp","","48",false,false
"49","Tarchonanthus littoralis","1","122868","Tarchonanthus littoralis","1","species","","","","P.P.J.Herman","Asteraceae","Tarchonanthus","Tarchonanthus","1","littoralis","littoralis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000124161;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006732-1","","Y","Accepted","Tarchonanthus littoralis","Tarchonanthus littoralis","P.P.J.Herman","122868","species","https://www.worldfloraonline.org/taxon/wfo-0000124161;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:20006732-1","","Asteraceae",1,"1","wfo,wcvp","","49",true,true
"50","Widdringtonia cedarbergensis","1","421939","Widdringtonia cedarbergensis","1","species","","","","J.A.Marsh","Cupressaceae","Widdringtonia","Widdringtonia","1","cedarbergensis","cedarbergensis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000427761;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:294876-1","","Y","Accepted","Widdringtonia cedarbergensis","Widdringtonia cedarbergensis","J.A.Marsh","421939","species","https://www.worldfloraonline.org/taxon/wfo-0000427761;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:294876-1","","Cupressaceae",1,"1","wfo,wcvp","","50",true,true
"51","Willdenowia incurvata","1","600785","Willdenowia incurvata","1","species","","","","(Thunb.) H.P.Linder","Restionaceae","Willdenowia","Willdenowia","1","incurvata","incurvata","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000607761;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:942229-1","","Y","Accepted","Willdenowia incurvata","Willdenowia incurvata","(Thunb.) H.P.Linder","600785","species","https://www.worldfloraonline.org/taxon/wfo-0000607761;https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:942229-1","","Restionaceae",1,"1","wfo,wcvp","","51",true,true
